"adult","backdrop_path","genre_ids","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
FALSE,"/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg","18, 80",278,"en","The Shawshank Redemption","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",17.432,"/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg","1994-09-23","The Shawshank Redemption",FALSE,8.708,27861
FALSE,"/tmU7GeKVybMWFButWEGl2M4GeiP.jpg","18, 80",238,"en","The Godfather","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",17.491,"/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","1972-03-14","The Godfather",FALSE,8.69,21139
FALSE,"/kGzFbGhp99zva6oZODW5atUtnqi.jpg","18, 80",240,"en","The Godfather Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",9.353,"/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg","1974-12-20","The Godfather Part II",FALSE,8.57,12762
FALSE,"/zb6fM1CX41D9rF9hdgclu0peUmy.jpg","18, 36, 10752",424,"en","Schindler's List","The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.",9.187,"/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg","1993-12-15","Schindler's List",FALSE,8.567,16212
FALSE,"/ixKQ55OL3S4Lm0wuKU0s09cVGpX.jpg","28, 12, 53",1356039,"es","Contraataque","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",39.916,"/lI2uFlSEkwXKljqiry7coaJ6wIS.jpg","2025-02-27","Counterattack",FALSE,8.581,391
FALSE,"/bxgTSUenZDHNFerQ1whRKplrMKF.jpg","18",389,"en","12 Angry Men","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",6.841,"/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg","1957-04-10","12 Angry Men",FALSE,8.5,8945
FALSE,"/6oaL4DP75yABrd5EbC4H2zq5ghc.jpg","16, 10751, 14",129,"ja","千と千尋の神隠し","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",8.922,"/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","2001-07-20","Spirited Away",FALSE,8.538,16898
FALSE,"/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg","35, 18, 10749",19404,"hi","दिलवाले दुल्हनिया ले जायेंगे","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",4.886,"/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg","1995-10-20","Dilwale Dulhania Le Jayenge",FALSE,8.5,4466
FALSE,"/oOv2oUXcAaNXakRqUPxYq5lJURz.jpg","18, 28, 80, 53",155,"en","The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",15.986,"/qJ2tW6WMUDux911r6m7haRef0WH.jpg","2008-07-16","The Dark Knight",FALSE,8.519,33527
FALSE,"/vxJ08SvwomfKbpboCWynC3uqUg4.jpg","14, 18, 80",497,"en","The Green Mile","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",8.749,"/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg","1999-12-10","The Green Mile",FALSE,8.506,17884
FALSE,"/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg","35, 53, 18",496243,"ko","기생충","All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",13.58,"/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg","2019-05-30","Parasite",FALSE,8.501,18777
FALSE,"/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg","53, 80",680,"en","Pulp Fiction","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",11.102,"/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg","1994-09-10","Pulp Fiction",FALSE,8.489,28416
FALSE,"/8x9iKH8kWA0zdkgNdpAew7OstYe.jpg","16, 10749, 18",372058,"ja","君の名は。","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",9.166,"/q719jXXEzOoYaps6babgKnONONX.jpg","2016-08-26","Your Name.",FALSE,8.5,11638
FALSE,"/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg","12, 14, 28",122,"en","The Lord of the Rings: The Return of the King","As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",14.934,"/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg","2003-12-17","The Lord of the Rings: The Return of the King",FALSE,8.481,24783
FALSE,"/mzfx54nfDPTUXZOG48u4LaEheDy.jpg","35, 18, 10749",13,"en","Forrest Gump","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",9.967,"/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg","1994-06-23","Forrest Gump",FALSE,8.468,27943
