"genre_ids","id","original_language","original_title","overview","popularity","release_date","title","vote_average","vote_count","revenue","budget","imdb_id","tagline","cast","director","imdb_rating","imdb_votes","production_companies","production_countries"
"18, 80",278,"en","The Shawshank Redemption","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",17.432,"1994-09-23","The Shawshank Redemption",8.708,27861,28341469,2.5e+07,"tt0111161","Fear can hold you prisoner. Hope can set you free.","Clancy Brown, Morgan Freeman, Tim Robbins, Larry Brandenburg, Dana Snyder, John R. Woodward, Scott Mann, Alonzo F. Jones, Rohn Thomas, Jeffrey DeMunn, Brian Libby, Alan R. Kessler, Neil Giuntoli, Neil Summers, Chuck Brauchler, Claire Slemmer, Mack Miles, Gordon Greene, Charlie Kearns, Brian Delate, Dennis Baker, Dion Anderson, Joseph Ragno, Vincent Foster, James Babson, Gary A. Jones, Dorothy Silver, Brian Brophy, Cornell Wallace, John E. Summers, Ron Newell, Paul McCrane, Donald Zinn, Joe Pecoraro, James Whitmore, Ned Bellamy, Sergio Kato, David Proval, Bill Bolender, Eugene C. DePasquale, Ken Magee, John Horton, Jude Ciccolella, Paul Kennedy, Renee Blaine, Gil Bellows, John D. Craig, Rob Reider, James Kisicki, Fred Culbertson, Harold E. Cope Jr., Mark Rolston, Alfonso Freeman, Robert Haley, Morgan Lund, Gary Lee Davis, Don McManus, Frank Medrano, Bob Gunton, William Sadler","Frank Darabont",9.3,3017438,"Castle Rock Entertainment","United States of America"
"18, 80",238,"en","The Godfather","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",17.491,"1972-03-14","The Godfather",8.69,21139,245066411,6e+06,"tt0068646","An offer you can't refuse.","Joseph Medaglia, Tom Rosqui, Italia Coppola, Lou Martini Jr., Tony King, Roman Coppola, Conrad Yama, Randy Jurgensen, Alex Rocco, Marlon Brando, Carol Morley, Saro Urzì, Abe Vigoda, John Marley, Salvatore Corsitto, Filomena Spagnuolo, Joe Spinell, Vito Scotti, Corrado Gaipa, John Martino, Gray Frederickson, Sterling Hayden, Al Pacino, Morgana King, Diane Keaton, Franco Citti, Victor Rendina, John Cazale, Lenny Montana, Sal Richards, Robert Duvall, Jeannie Linero, Rick Petrucelli, Angelo Infanti, Joe Lo Grippo, Richard Conte, Talia Shire, Don Costello, Al Martino, Al Lettieri, Tony Lip, Sofia Coppola, Ardell Sheridan, Tony Giorgio, Nick Vallelonga, Richard Bright, Tere Livrano, Sonny Grosso, Louis Guss, Raymond Martino, Frank Sivero, Rudy Bond, Ron Gilbert, Gabriele Torrei, Simonetta Stefanelli, James Caan, Gianni Russo, Julie Gregg, Richard S. Castellano","Francis Ford Coppola",9.2,2105892,"Paramount Pictures, Alfran Productions","United States of America"
"18, 80",240,"en","The Godfather Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",9.353,"1974-12-20","The Godfather Part II",8.57,12762,102600000,1.3e+07,"tt0071562","The rise and fall of the Corleone empire.","Harry Dean Stanton, Venancia Grangerard, Marianna Hill, Julian Voloshin, Filomena Spagnuolo, Gianni Russo, David Baker, Johnny Naranjo, Carmine Foresta, Mario Cotone, Frank Sivero, Sofia Coppola, John Megna, Tito Alba, Peter Donat, Fay Spain, Richard Watson, John Cazale, Talia Shire, Carmen Argenziano, Abe Vigoda, Andrea Maugeri, Gabriella Belloni, Larry Guardino, Vincent Coppola, Joe Spinell, Ivonne Coll, Dominic Chianese, Edward Van Sickle, Julie Gregg, Phil Feldman, Richard Matheson, James Caan, Ezio Flagello, Victor Pujols Faneyte, Amerigo Tot, Paul B. Brown, Francesca De Sapio, Robert Duvall, Troy Donahue, Ignazio Pappalardo, Joseph Della Sorte, G. D. Spradlin, Tere Livrano, Leopoldo Trieste, Danny Aiello, Joe De Nicola, Jay Rasumny, Teresa Tirelli, Oreste Baldini, Italia Coppola, William Bowers, Robert De Niro, Tom Rosqui, Saveria Mazzola, John Aprea, Diane Keaton, Morgana King, Sho Kosugi, Devi Morgan, Livio Giorgi, Roman Coppola, Maria Carta, Tom Dahlgren, Michael V. Gazzo, Nick Discenza, Joe Lo Grippo, Al Pacino, Joseph Medaglia, Carmine Caridi, Buck Houghton, Elda Maida, Gary Kurtz, Peter LaCorte, Salvatore Po, Giuseppe Sillato, Kathleen Beller, James Gounaris, Roger Corman, Richard Bright, Lee Strasberg, Erica Yohn, Gastone Moschin, Bruno Kirby","Francis Ford Coppola",9,1418401,"Paramount Pictures, The Coppola Company, American Zoetrope","United States of America"
"18, 36, 10752",424,"en","Schindler's List","The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.",9.187,"1993-12-15","Schindler's List",8.567,16212,321365567,2.2e+07,"tt0108052","Whoever saves one life, saves the world entire.","Piotr Kadlcik, Marek Wrona, Hans-Jörg Assmann, Erwin Leder, Dariusz Szymaniak, Magdalena Komornicka, Béatrice Macola, Grzegorz Damięcki, Jerzy Sagan, Branko Lustig, Marian Glinka, Magdalena Dandourian, Henryk Bista, Sebastian Konrad, Maciej Orłoś, Radosław Krzyżowski, Rami Heuberger, Wolfgang Seidenberg, Haymon Maria Buttinger, Miri Fabian, Maciej Kowalewski, Jonathan Sagall, Vili Matula, Andrzej Seweryn, Grzegorz Kwas, Hans Rosner, Esti Yerushalmi, Ralph Fiennes, Peter Appiano, Daniel Del-Ponte, Wojciech Klata, Agnieszka Wagner, Georges Kern, Oliwia Dabrowska, Emilie Schindler, Caroline Goodall, Andrzej Welminski, Jacek Wójcicki, Friedrich von Thun, Sławomir Holland, Tomasz Dedek, Jerzy Nowak, Dorit Seadia, Piotr Cyrwus, Hanna Kossowska, Dirk Bender, Shmuel Levy, Malgorzata Gebel, Adam Siemion, Sebastian Skalski, Ewa Kolasińska-Szramel, Maria Peszek, Embeth Davidtz, Wiesław Komasa, Marta Bizoń, Harry Nehring, Piotr Polk, Maciej Kozłowski, Krzysztof Luft, Tadeusz Bradecki, Jan Jurewicz, Osman Ragheb, Uri Avrahami, Jeremy Flynn, Bettina Kupfer, Jacek Link-Lenczowski, Zuzanna Lipiec, Edward Linde-Lubaszenko, Alicja Kubaszewska, Ben Kingsley, Adi Nitzan, Stanislaw Koczanowicz, Lucyna Zabawa, Beata Paluch, Michael Z. Hoffmann, Anemona Knut, Peter Flechtner, Paweł Deląg, August Schmölzer, Michael Schiller, Leopold Pfefferberg, Michael Schneider, Mark Ivanir, Beata Rybotycka, Alexander Held, Hans-Michael Rehberg, Beata Deskur, Jacek Pulanecki, Albert Misak, Marcin Grzymowicz, Lech Niebielski, Martin Bergmann, Martin Semmelrogge, Lidia Wyrobiec-Bank, Dominika Bednarczyk, Götz Otto, Shabtai Konorti, Thomas Morris, Alexander Buczolich, Eugeniusz Priwieziencew, Agnieszka Krukówna, Ezra Dagan, Ludger Pistor, Jochen Nickel, Olaf Lubaszenko, Anna Mucha, Sigurd Bemme, Hubert Kramar, Katarzyna Śmiechowicz, Leopold Rosner, Joachim Paul Assböck, Alexander Strobele, Elina Löwensohn, Agnieszka Korzeniowska, Etl Szyc, Michael Gordon, Zbigniew Kozłowski, Liam Neeson, Artus-Maria Matthiessen, Norbert Weisser, Ryszard Radwański, Tadeusz Huk, Leopold Kozłowski, Razia Israeli, Ruth Farhi, Maciej Winkler, Maja Ostaszewska, Danny Marcu, Stanisław Brejdygant, Ravit Ferera, Dieter Witting, Aldona Grochal, Wilhelm Manske, Geno Lechner","Steven Spielberg",9,1510744,"Amblin Entertainment","United States of America"
"28, 12, 53",1356039,"es","Contraataque","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",39.916,"2025-02-27","Counterattack",8.581,391,0,0,"tt23648788","","Frida Jiser, Luis Curiel, Pedro Joaquín, Roberta Burns, Cesar Antulio, Alberto Ornelas, Luis Alberti, Mayra Batalla, Sergio Jurado Molina, Mario Alberto Monroy, David Calderón León, Luz Ramos, Ishbel Bautista, Israel Islas, José Luis Enriquez Serna, Edgar Novoa, Guillermo Nava, Mario Escalante, Alejandra Herrera, Leonardo Alonso, Manuel Villegas, Noé Hernández, Guillermo Quintanilla","Chava Cartas",6,2465,"Draco Films","Mexico"
"18",389,"en","12 Angry Men","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",6.841,"1957-04-10","12 Angry Men",8.5,8945,4360000,397751,"tt0050083","Life is in their hands — Death is on their minds!","Jack Klugman, Billy Nelson, Tom Gorman, Martin Balsam, John Fiedler, Rudy Bond, Lee J. Cobb, Jack Warden, Joseph Sweeney, Ed Begley, E.G. Marshall, George Voskovec, James Kelly, Edward Binns, Henry Fonda, Walter Stocker, John Savoca, Robert Webber","Sidney Lumet",9,915552,"United Artists, Orion-Nova Productions","United States of America"
"16, 10751, 14",129,"ja","千と千尋の神隠し","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",8.922,"2001-07-20","Spirited Away",8.538,16898,274925095,1.9e+07,"tt0245429","On the other side of the tunnel was a mysterious town.","Katsutomo Shîbara, Yoshitaka Sukegawa, Masahiro Asano, Noriko Kitou, Miwa Takachi, Rina Yamada, Sonoko Soeda, Minako Masuda, Ken Yasuda, Shinobu Katabuchi, Akio Nakamura, Koba Hayashi, Mari Natsuki, Tsunehiko Kamijô, Michiko Yamamoto, Tatsuya Gashûin, Tetsurô Ishibashi, Akiko Tomihira, Noriko Yamaya, Orika Ono, Sachie Azuma, Yasuko Sawaguchi, Kazutaka Hayashida, Takashi Naito, Ikuko Yamamoto, Shigeru Wakita, Naoto Kaji, Hiromi Takeuchi, Aki Tachikawa, Makiko Oku, Rumi Hiiragi, Bunta Sugawara, Mina Meguro, Masayuki Kizu, Shinji Tokumaru, Yo Oizumi, Shirou Saitou, Tsuzuki Kayako, Yôko Ôno, Miyu Irino, Kaori Yamagata, Keiko Tsukamoto, Takehiko Ono, Katsuhisa Matsuo, Shigeyuki Totsugi, Ryunosuke Kamiki, Yumi Tamai, Mayumi Saco","Hayao Miyazaki",8.6,899072,"Studio Ghibli","Japan"
"35, 18, 10749",19404,"hi","दिलवाले दुल्हनिया ले जायेंगे","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",4.886,"1995-10-20","Dilwale Dulhania Le Jayenge",8.5,4466,1e+08,13200000,"tt0112870","Come… Fall In love, All Over Again…","Shah Rukh Khan, Anaita Shroff Adajania, Amrish Puri, Rajesh Bhatija, Lalit Tiwari, Pooja Ruparel, Farida Jalal, Shanker Iyer, Himani Shivpuri, Hemlata Deepak, Satish Shah, Parmeet Sethi, Kajol, Surendra Rahi, Mandira Bedi, Anupam Kher, Uday Chopra, Achala Sachdev, Damyanti Puri, Mohit Kumar, Karan Johar, Mansoor Merchant, Arjun Sablok, Baby Raashi, Govind Khatri, Baby Nupur","Aditya Chopra",8,79638,"Yash Raj Films","India"
"18, 28, 80, 53",155,"en","The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",15.986,"2008-07-16","The Dark Knight",8.519,33527,1004558444,1.85e+08,"tt0468569","Welcome to a world without rules.","Ron Dean, Adam Kalesperis, Nicky Katt, Melinda McGraw, Jonathan Ryland, Anthony Michael Hall, John Snowden, Sophia Hinshelwood, Cillian Murphy, Lanny Lutz, Vincenzo Nicoli, Will Zahrn, Matthew O'Neill, Jennifer Knox, Ariyon Bakare, Debbi Burns, Don Kress, Michael Vieau, Matthew Leitch, Ian Pirie, Joshua Rollins, Jon Lee Brody, Matt Rippy, Kelli Clevenger, David Ajala, Daryl Satcher, Tina Simmons, Dan Latham, Jordon Hodges, Nestor Carbonell, Chris Wilson, Wai Wong, Roger Monk, Helene Maksoud, Tom McComas, Sofiya Smirnova, James Fierro, Erron Jay, Tristan Tait, John Turk, Gertrude Kyles, David Fultz, Chin Han, Philip Bulcock, William Smillie, Tony Domino, Greg Beam, Heath Ledger, Patrick Leahy, Dale Rivera, Andy Luther, Chris Petschler, Richard Divizio, Eric Roberts, Robert Patrick Stern, Maggie Gyllenhaal, Beatrice Rosen, James Scales, Richard Dillane, Craig Heaney, Michael Corey Foster, Edison Chen, Joseph Oliveira, Tim Krueger, John Warman, Doug Ballard, Joseph Luis Caballero, Peter Brooke, Craig Braginsky, Lateef Lovejoy, David Dastmalchian, Michael Andrew Gorman, William Armstrong, Lisa McAllister, Bruce Spielbauer, Patrick Clear, Rob Clark, Sarah Jayne Dunn, K. Todd Freeman, Laura Chernicky, Buster Reeves, James Farruggio, Michael Caine, Bronson Webb, Grahame Edwards, Christian Bale, Ritchie Coster, Tommy Campbell, Mike Whyte, Erik Hellman, Walter Lewis, Charles Venn, Andrew Bicknell, Lorna Gayle, Natalie Hallam, Aaron Eckhart, Shirin Caiola, Robert Stone, Nathan Gamble, Vincent Riotta, Nancy Crane, Amit Shah, Tom Townsend, Paul Birchard, Rick Avery, Henry Milton Chu, Michael Stoyanov, Hannah Gunn, Olumiji Olawumi, Aidan Feore, Tom McElroy, Keith Szarabajka, Thomas Kosik, Maritza Cabrera, Danny Goldring, Nigel Carrington, Colin McFarlane, Kevin Zaideman, Matt Shallenberger, James Mellor, Winston Ellis, Thomas Gaitsch, Keith Kupferer, Brandon Lambdin, Michelle Shields, Michael Jai White, Gary Oldman, Richard Strobel, Peter Rnic, Matt Skiba, Joshua Harto, Monique Gabriela Curnen, William Fichtner, Ronan Summers, Peter DeFaria, Tommy Lister Jr., Nydia Rodriguez Terracina, Morgan Freeman, Sam Derence","Christopher Nolan",9,2993781,"Warner Bros. Pictures, Legendary Pictures, Syncopy, DC","United Kingdom, United States of America"
"14, 18, 80",497,"en","The Green Mile","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",8.749,"1999-12-10","The Green Mile",8.506,17884,286801374,6e+07,"tt0120689","Paul Edgecomb didn't believe in miracles. Until the day he met one.","Judy Herrera, Garth Shaw, Rachel Singer, Gower Mills, David E. Browning, Fred Astaire, Wes Hall, Gary Imhoff, Van Epperson, Paula Malcomson, Sam Rockwell, Bonnie Hunt, Michael Clarke Duncan, Evanne Drucker, Rai Tasco, Rebecca Klingler, Jeffrey DeMunn, Michael Jeter, Scotty Leavenworth, Edrie Warner, Christopher Joel Ives, Tommy Barnes, Bailey Drucker, David Morse, Dabbs Greer, Phil Hawn, Jared Stovall, Graham Greene, Tom Hanks, Brian Libby, Harry Dean Stanton, Gary Sinise, Doug Hutchison, William Sadler, Eve Brent, Bill McKinney, Mack Miles, Bill Gratton, Brent Briscoe, Dee Croxton, Todd Thompson, Patricia Clarkson, Barry Pepper, Katelyn Leavenworth, James Cromwell","Frank Darabont",8.6,1472786,"Castle Rock Entertainment, Darkwoods Productions","United States of America"
